district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Madurai,2025-04-10 15:00:00,28.53,31.41,28.53,28.53,1007,68,4.46,227,88,Rain,light rain
Madurai,2025-04-10 18:00:00,29.74,31.8,29.74,29.74,1007,57,3.96,311,66,Clouds,broken clouds
Madurai,2025-04-10 21:00:00,27.94,29.81,27.94,27.94,1006,64,3.05,263,86,Clouds,overcast clouds
Madurai,2025-04-11 00:00:00,27.14,28.66,27.14,27.14,1007,65,2.54,299,73,Clouds,broken clouds
Madurai,2025-04-11 03:00:00,29.87,31.17,29.87,29.87,1008,52,3.52,284,86,Clouds,overcast clouds
Madurai,2025-04-11 06:00:00,34.57,35.14,34.57,34.57,1008,35,2.44,249,91,Clouds,overcast clouds
Madurai,2025-04-11 09:00:00,38.01,38.5,38.01,38.01,1004,27,2.31,198,14,Clouds,few clouds
Madurai,2025-04-11 12:00:00,29.53,31.96,29.53,29.53,1005,60,9.38,323,56,Rain,light rain
Madurai,2025-04-11 15:00:00,27.55,29.0,27.55,27.55,1008,62,4.43,351,100,Rain,moderate rain
Madurai,2025-04-11 18:00:00,29.17,31.49,29.17,29.17,1008,61,3.79,267,100,Clouds,overcast clouds
Madurai,2025-04-11 21:00:00,27.71,29.66,27.71,27.71,1006,66,2.41,249,92,Clouds,overcast clouds
Madurai,2025-04-12 00:00:00,26.12,26.12,26.12,26.12,1008,69,3.21,320,94,Clouds,overcast clouds
Madurai,2025-04-12 03:00:00,29.12,30.35,29.12,29.12,1010,54,4.49,300,100,Clouds,overcast clouds
Salem,2025-04-07 06:00:00,34.47,36.25,34.47,34.47,1010,40,1.03,173,43,Clouds,scattered clouds
Salem,2025-04-07 09:00:00,35.32,36.36,35.32,37.01,1009,35,1.15,148,57,Clouds,broken clouds
Salem,2025-04-07 12:00:00,34.4,35.1,34.36,34.4,1007,36,1.1,144,76,Clouds,broken clouds
Salem,2025-04-07 15:00:00,30.62,31.82,30.62,30.62,1010,49,3.34,102,100,Clouds,overcast clouds
Salem,2025-04-07 18:00:00,28.27,30.11,28.27,28.27,1012,62,2.09,96,100,Clouds,overcast clouds
Salem,2025-04-07 21:00:00,26.67,28.45,26.67,26.67,1010,72,1.33,119,100,Clouds,overcast clouds
Salem,2025-04-08 00:00:00,25.12,25.78,25.12,25.12,1011,80,0.64,122,75,Clouds,broken clouds
Salem,2025-04-08 03:00:00,28.85,30.93,28.85,28.85,1013,61,1.26,207,18,Clouds,few clouds
